SUBID,AGE_AT_SCAN_1,SEX
25629,18,1
25630,22,1
25631,19,2
25632,20,2
25633,18,1
25634,23,1
25635,20,2
25636,24,1
25637,21,1
25638,21,1
25639,20,2
25640,21,1
25641,21,1
25642,22,1
25643,20,1
25644,19,1
25645,20,2
25646,20,1
25647,17,1
25648,20,1
25649,20,1
25650,21,2
25651,21,2
25652,19,1
25653,19,2
25654,20,1
25655,20,1
25656,20,1
25657,22,2
25658,20,2
25659,19,1
25660,19,1
25661,20,1
25662,21,1
25663,19,2
25664,20,1
25665,20,1
25666,21,1
25667,19,1
25668,20,1
25669,19,2
25670,19,2
25671,20,2
25672,21,1
25673,20,1
25674,20,1
25675,19,1
25676,19,1
25677,20,1
25678,20,1
25679,19,1
25680,19,2
25681,20,1
25682,20,2
25683,21,2
25684,20,2
25685,20,1
25686,22,2
25687,19,2
25688,20,2
25689,20,1
25690,21,2
25691,19,1
25692,20,2
25693,21,2
25694,20,2
25695,19,2
25696,19,2
25697,21,2
25698,19,2
25699,21,2
25700,20,2
25701,20,2
25702,20,2
25703,19,2
25704,21,2
25705,20,2
25706,20,2
25707,19,2
25708,25,2
25709,20,2
25710,20,2
25711,19,2
25712,20,2
25713,20,2
25714,20,2
25715,20,2
25716,20,2
25717,24,1
25718,19,2
25719,21,2
25720,20,2
25721,21,1
25722,22,1
25723,21,1
25724,19,1
25725,20,2
25726,21,1
25727,20,1
25728,20,2
25729,21,2
25730,19,2
25731,20,2
25732,22,1
25733,20,1
25734,21,1
25735,20,2
25736,20,1
25737,22,2
25738,21,2
25739,27,1
25740,21,1
25741,20,1
25742,18,1
25743,18,1
25744,18,1
25745,20,2
25746,20,1
25747,17,2
25748,20,1
25749,22,2
25750,19,1
25751,20,1
25752,21,2
25753,21,2
25756,19,2
25757,20,2
25758,20,1
25759,21,2
25760,20,1
25761,19,2
25762,20,2
25763,20,1
25764,20,2
25765,19,1
25766,20,2
25767,20,2
25768,20,2
25769,19,1
25770,19,2
25771,21,2
25772,20,2
25773,20,2
25774,21,1
25775,21,2
25776,21,2
25777,22,2
25778,20,1
25779,20,1
25780,20,2
25781,20,1
25782,21,2
25783,19,2
25784,21,1
25785,19,1
25786,20,1
25787,20,1
25788,22,1
25794,19,1
25795,19,1
25796,20,1
25797,20,1
25798,19,2
25799,20,2
25800,21,2
25801,20,2
25802,18,2
25803,20,1
25804,18,1
25805,19,2
25806,20,2
25807,19,1
25808,19,1
25809,19,2
25810,20,2
25811,19,1
25812,20,1
25813,18,2
25814,19,2
25815,19,2
25816,19,2
25817,19,1
25818,20,2
25819,19,2
25820,19,1
25821,19,1
25822,19,1
25823,19,1
25824,19,2
25825,18,1
25826,19,1
25827,18,1
25828,19,2
25829,20,2
25830,19,2
25831,21,2
25832,20,2
25833,20,2
25834,20,2
25835,19,2
25836,19,1
25837,19,2
25840,19,1
25841,21,2
25842,21,1
25843,21,1
25863,20,1